prefix,input_text,target_text
webNLG,['Ajoblanco | country | Spain'],"['Ajoblanco originates from the country of Spain.', 'Ajoblanco is from Spain.']"
webNLG,['Amatriciana_sauce | ingredient | Olive_oil'],"['Olive oil is one ingredient in Amatriciana sauce.', 'Olive oil is an ingredient of Amatriciana sauce.']"
webNLG,['Amatriciana_sauce | ingredient | Tomato'],"['Amatriciana sauce has tomato as one of its ingredients.', 'Tomato is an ingredient in Amatriciana sauce.', 'Tomato is an ingredient of Amatriciana sauce.']"
webNLG,"['Amatriciana_sauce | mainIngredients | ""Tomatoes, guanciale, cheese, olive oil""']","['Tomatoes, guanciale, cheese, olive oil are the main ingredients of Amatriciana sauce.']"
webNLG,['Amatriciana_sauce | region | Lazio'],"['Amatriciana sauce comes from the region of Lazio.', 'Amatriciana is a sauce from Lazio.', 'Amatriciana sauce is from the Lazio region.']"
webNLG,['Andalusia | leaderName | Susana_Díaz'],"['Susana Diaz is a leader of Andalusia.', 'Susana Diaz is the leader of Andalusia.']"
webNLG,['Antioquia_Department | country | Colombia'],"['The Antioquia Department is found in Colombia.', 'The Antioquia Department can be found in the country of Colombia.']"
webNLG,['Arem-arem | country | Indonesia'],"['Arem-arem is a food found in Indonesia.', 'Arem arem originates from the country of Indonesia.', 'The country of Indonesia commonly serves Arem-arem.']"
webNLG,"['Arem-arem | course | ""Main course""']","['Arem-arem can be served as a main course.', 'Arem arem is a main course.']"
webNLG,['Arem-arem | dishVariation | Lemper'],"['Lemper is a dish variation of Arem-Arem.', 'Lemper is a variation of Arem arem.']"
webNLG,['Arem-arem | ingredient | Banana_leaf'],"['Banana leaf is an ingredient in Arem arem.', 'Arem-arem uses the ingredient banana leaf.', 'Arem-arem have banana leaf in it.']"
webNLG,"['Arem-arem | mainIngredients | ""compressed rice cooked in banana leaf with vegetables or minced meat fillings""']",['The main ingredients of Arem-arem are compressed rice cooked in banana leaf with vegetables or minced meat fillings.']
webNLG,['Arem-arem | region | Javanese_cuisine'],['Arem-arem is a dish of Javanese cuisine.']
webNLG,['Arrabbiata_sauce | country | Italy'],"['Arrabbiata sauce can be found in Italy.', 'Arrabbiata sauce is from Italy.']"
webNLG,['Arrabbiata_sauce | dishVariation | Basil'],"['Arrabbiata sauce has basil as a variation.', 'To vary arrabbiata sauce, basil may be used.', 'Basil can be included in Arrabbiaita sauce.']"
webNLG,['Arrabbiata_sauce | dishVariation | Oregano'],"['Oregano is one of the ingredients that can be used in a variation of Arrabbiata sauce.', 'Oregano can be added to Arrabbiata sauce.']"
webNLG,['Arrabbiata_sauce | ingredient | Garlic'],"['Garlic is an ingredient in arrabbiata sauce.', 'An ingredient of arrabbiata sauce is garlic.']"
webNLG,['Arrabbiata_sauce | ingredient | Olive_oil'],"['Olive oil is an ingredient in Arrabbiata sauce.', 'Olive oil is an ingredient used in the preparation of Arrabbiata sauce.']"
webNLG,['Arrabbiata_sauce | ingredient | Tomato'],"['Tomato is an ingredient in Arrabbiata sauce.', 'Tomatoes are found in Arrabbiata sauce.', 'Arrabbiata sauce includes tomatoes.']"
webNLG,['Arrabbiata_sauce | region | Rome'],"['Arrabbiata sauce originates from the region of Rome.', 'Arrabbiata sauce is a traditional dish from Rome.', 'Arrabbiata sauce is from the Rome region.']"
webNLG,['Arròs_negre | country | Spain'],"['Arròs negre is a traditional dish from Spain.', 'Arròs negre is from Spain.']"
webNLG,['Arròs_negre | ingredient | Cephalopod_ink'],"['Cephalopod ink is an ingredient of Arròs negre.', 'Cephalopod ink is an ingredient in the dish Arròs negre.', 'Cephalopod ink is an ingredient in Arròs negre.']"
webNLG,['Arròs_negre | ingredient | Cubanelle'],"['Cubanelle is an ingredient in Arros negre.', 'Cubanelle is one of the ingredients in Arros negre.']"
webNLG,"['Arròs_negre | mainIngredients | ""White rice, cuttlefish or squid, cephalopod ink, cubanelle peppers""']","['The main ingredients in arròs negre are white rice, cuttlefish or squid, cephalopod ink and cubanelle peppers.', 'The main ingredients of Arròs negre are white rice, cuttlefish or squid, cephalopod ink, cubanelle peppers.', 'The main ingredients of Arros negre are white rice, cuttlefish or squid, cephalopod ink, cubanelle peppers.']"
webNLG,"['Asam_pedas | alternativeName | ""Asam padeh""']","['The alternative name for asam pedas is asam padeh.', 'Asam padeh is also known as Asam pedas.', 'An alternative name for Asam pedas is Asam padeh.']"
webNLG,"['Asam_pedas | country | ""Indonesia and Malaysia""']","['Asam pedas comes from the countries of Indonesia and Malaysia.', 'Asam pedas is from Indonesia and Malaysia.']"
webNLG,['Asam_pedas | country | Indonesia'],"['Indonesia is the country Asam pedas comes from.', 'Asam pedas is a dish that is popular in Indonesia.', 'The Asam pedas is popular in Indonesia.']"
webNLG,['Asam_pedas | creatorOfDish | Malay_cuisine'],['Asam pedas is a dish that was created within Malay cuisine.']
webNLG,['Asam_pedas | creatorOfDish | Padang_cuisine'],['Padang cuisine has resulted in the creation of the dish Asam pedas.']
webNLG,"['Asam_pedas | mainIngredients | ""Fish cooked in sour and hot sauce""']","['The main ingredients of Asam pedas are fish cooked in sour and hot sauce.', 'The main ingredients of asam pedas consist of fish cooked in a sour and hot sauce.', 'Asam pedas is a dish of fish cooked in a sour and hot sauce.']"
webNLG,"['Asam_pedas | region | ""Sumatra and Malay Peninsula""']","['Asam pedas is found in the region of Sumatra and Malay peninsula.', 'The dish Asam pedas comes from the region of Sumatra and the Malay Peninsula.', 'Asam pedas is from the Sumatra and Malay Peninsula regions.']"
webNLG,['Asam_pedas | region | Malay_Peninsula'],"['Asam pedas is a food found in the Malay Peninsula.', 'Asam pedas is from the Malay Peninsula region.', 'Asam pedas hails from Malay Peninsula.']"
webNLG,['Asam_pedas | region | Sumatra'],['Asam pedas is a dish from Sumatra.']
webNLG,['Avocado | family | Lauraceae'],"['The avocado is a member of the Lauraceae family.', 'Avocado is part of the Lauraceae family.', 'The avocado plant belongs to the Lauraceae family.']"
webNLG,['Avocado | order | Laurales'],"['Avocado is under the order of laurales.', 'The avocado is a member of the Laurales plant order.', 'Avocado is a fruit of the order Laurales.']"
webNLG,['Ayam_penyet | country | Indonesia'],['Ayam penyet is from Indonesia.']
webNLG,['Ayam_penyet | country | Java'],"['Ayam penyet is a food found in Java.', 'The country of Ayam penyet is Java.']"
webNLG,['Ayam_penyet | ingredient | Fried_chicken'],"['Fried chicken is an ingredient in Ayam penyet.', ""Fried chicken is one of the ingredients in the dish 'Ayam Penyet'."", 'Ayam penyet has fried chicken in it.']"
webNLG,"['Ayam_penyet | mainIngredients | ""Squeezed"" or ""smashed"" fried chicken served with sambal']","['The main ingredients of Ayam penyet are ""squeezed"" or ""smashed"" chicken served with sambal.', ""Ayam penyet's main ingredients are squeezed or smashed fried chicken served with sambal."", '""Squeezed"" or ""smashed"" fried chicken served with sambal is a main ingredient in ayam penyet.']"
webNLG,"['Ayam_penyet | region | ""Nationwide, also can be found in Malaysia and Singapore""']","['Ayam penyet can be found nationwide and also in Malaysia and Singapore.', 'Ayam penyet is made nationwide, and can also be found in Malaysia and Singapore.']"
webNLG,['Ayam_penyet | region | Malaysia'],"['Ayam penyet comes from the region of Malaysia.', 'Ayam Penyet is a dish from Malaysia.', 'Ayam penyet is a popular dish in Malaysia.']"
webNLG,['BLT | dishVariation | Club_sandwich'],"['The BLT is a variation on the club sandwich.', 'BLT is a variation of a Club Sandwich.', 'BLT is a variation of club sandwich.']"
webNLG,['BLT | ingredient | Lettuce'],"['one of the ingredients of the BLT sandwich is Lettuce.', 'Lettuce is an ingredient in a BLT.']"
webNLG,['Bacon_Explosion | country | United_States'],"['The country Bacon Explosion comes from is the United States.', 'The United States is the country of the Bacon Explosion.', 'Bacon Explosion comes from the United States.']"
webNLG,"['Bacon_Explosion | course | ""Main course""']",['Bacon Explosion is a main course.']
webNLG,['Bacon_Explosion | ingredient | Bacon'],"['Bacon is an ingredient in a Bacon Explosion.', ""Bacon is an ingredient in the dish 'Bacon Explosion'.""]"
webNLG,['Bacon_Explosion | ingredient | Sausage'],"['An ingredient of a bacon explosion is sausage.', 'Sausage in an ingredient in bacon explosion.', 'Sausage is an ingredient of a Bacon Explosion.']"
webNLG,"['Bacon_Explosion | mainIngredients | ""Bacon,sausage""']","['The main ingredients in a bacon explosion are bacon and sausage.', 'The main ingredients of Bacon Explosion are bacon and sausage.', 'Bacon and sausage are the main ingredients of a Bacon Explosion.']"
webNLG,['Bacon_Explosion | mainIngredients | Bacon'],['The main ingredient in a Bacon Explosion is bacon.']
webNLG,['Bacon_Explosion | mainIngredients | Sausage'],"['Sausage is a main ingredient of Bacon Explosion.', 'sausage is a main ingredient in bacon explosion.']"
webNLG,['Bacon_Explosion | region | Kansas_City_metropolitan_area'],['Bacon Explosion is from the Kansas City metropolitan area.']
webNLG,"['Bacon_sandwich | alternativeName | ""Bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece \'n bacon, bacon cob, bacon barm, bacon muffin""']","[""The bacon sandwich has different names including: Bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm and bacon muffin."", ""a bacon sandwich can also be known as a bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm, or bacon muffin.""]"
webNLG,['Bacon_sandwich | country | United_Kingdom'],"['Bacon sandwich is a dish from the United Kingdom.', 'The country that bacon sandwich comes from is the United Kingdom.', 'Bacon sandwiches are popular in the UK.']"
webNLG,['Bacon_sandwich | dishVariation | BLT'],"['A variation of a bacon sandwich is the BLT.', 'Another variation for a bacon sandwich is a BLT.', 'Bacon sandwich is a variation of BLT.']"
webNLG,['Bacon_sandwich | ingredient | Bacon'],['A bacon sandwich includes the ingredient bacon.']
webNLG,['Bacon_sandwich | ingredient | Bread'],"['An ingredient in a bacon sandwich is bread.', 'One ingredient of a bacon sandwich is bread.', 'Bread is an ingredient of a bacon sandwich.']"
webNLG,['Bacon_sandwich | ingredient | Brown_sauce'],"['An ingredient in a bacon sandwich is brown sauce.', 'Brown sauce is an ingredient in a bacon sandwich.', 'Brown sauce is an ingredient of a Bacon Sandwich.']"
webNLG,['Bacon_sandwich | ingredient | Condiment'],"['Condiments are an ingredient in a bacon sandwich.', 'Condiments are used in the preparation of a bacon sandwich.', 'condiments are ingredients in bacon sandwiches.']"
webNLG,['Bacon_sandwich | ingredient | Ketchup'],"['Ketchup can be an ingredient in a bacon sandwich.', 'Ketchup can be added to a bacon sandwich.', 'one of the ingredients of a Bacon Sandwich is Ketchup.']"
webNLG,"['Bacon_sandwich | mainIngredients | ""Bread and bacon, with a condiment, often ketchup or brown sauce""']","['The main ingredients of a bacon sandwich are bread and bacon and a condiment, often ketchup or brown sauce.', 'the main ingredients in a Bacon sandwich are bread and bacon with ketchup or brown sauce as a condiment.']"
webNLG,"['Baked_Alaska | country | ""France, United States or China""']","['Baked Alaska is thought to have originated in the United States, France or China.', 'France, United States and China all claim to have invented Baked Alaska.', 'Baked Alaska is from France, the United States or China.']"
webNLG,['Baked_Alaska | country | China'],"['Baked Alaska is a dish in China.', 'Baked Alaska is from China.', 'Baked Alaska comes from China.']"
webNLG,['Baked_Alaska | country | France'],"['Baked Alaska is from the country of France.', 'Baked Alaska comes from the country of France.', 'Baked Alaska is from France.']"
webNLG,['Baked_Alaska | country | United_States'],"['Baked Alaska is a dish from the United States.', 'Baked Alaska is a dish found in the U.S.', 'Baked Alaska is from the United States.']"
webNLG,['Baked_Alaska | ingredient | Christmas_pudding'],['Christmas pudding is an ingredient in Baked Alaska.']
webNLG,['Baked_Alaska | ingredient | Ice_cream'],"['Ice cream is an ingredient of Baked Alaska.', 'Ice cream is an ingredient in Baked Alaska.']"
webNLG,['Baked_Alaska | ingredient | Meringue'],['Meringue is an ingredient of a Baked Alaska.']
webNLG,['Baked_Alaska | ingredient | Sponge_cake'],"['Sponge cake is an ingredient of Baked Alaska.', 'One of the ingredients of Baked Alaska is Sponge Cake.', 'sponge cake is an ingredient in baked alaska.']"
webNLG,"['Baked_Alaska | mainIngredients | ""Meringue, ice cream, sponge cake or Christmas pudding""']","['Meringue, ice cream, sponge cake or Christmas pudding are the main ingredients of Baked Alaska.', 'The main ingredients of a Baked Alaska are meringue, ice cream and sponge cake (or Christmas pudding).', 'Meringue, ice cream, sponge cake or Christmas pudding are main ingredients in baked Alaska.']"
webNLG,"['Baked_Alaska | region | ""Paris, New York or Hong Kong""']","['Hong Kong or New York or Paris are the regions where Baked Alaska is found.', 'Baked Alaska comes from either Paris, New York or Hong Kong.', 'Baked Alaska is popular in Paris, New York and Hong Kong.']"
webNLG,['Baked_Alaska | region | New_York'],"['Baked Alaska comes from the region of New York.', 'Baked Alaska is from the New York region.']"
webNLG,"['Bakewell_pudding | course | ""Dessert""']","['Bakewell pudding is a dessert.', 'Bakewell pudding is classed as a Dessert.']"
webNLG,"['Bakewell_pudding | creator | ""Rutland Arms, Bakewell, in 1820""']","['Bakewell pudding was created in 1820 at the Rutland Arms, Bakewell.', 'Bakewell pudding was created in Rutland Arms, Bakewell, in 1820.']"
webNLG,['Bakewell_pudding | dishVariation | Bakewell_tart'],"['A variant of bakewell pudding is bakewell tart.', 'Bakewell tart is a variation of Bakewell pudding.']"
webNLG,"['Bakewell_pudding | mainIngredients | ""Ground almond, jam, butter, eggs""']","['Some main ingredients in Bakewell pudding are ground almonds, jam, butter and eggs.', 'Bakewell pudding has ground almond, jam, butter and eggs as main ingredients.', 'The main ingredients of Bakewell pudding are ground almond, jam, butter, eggs.']"
webNLG,['Bakewell_pudding | region | Derbyshire_Dales'],"['Bakewell pudding is from the Derbyshire Dales region.', 'Bakewell pudding originates from the Derbyshire Dales.']"
webNLG,"['Bakewell_pudding | servingTemperature | ""Warm (freshly baked) or cold""']",['Bakewell pudding can be served warm (freshly baked) or cold.']
webNLG,['Bakewell_tart | ingredient | Fruit_preserves'],"['Fruit preserves are an ingredient in the bakewell tart.', 'Fruit preserves are an ingredient in Bakewell tart.']"
webNLG,['Bakewell_tart | ingredient | Shortcrust_pastry'],"['An ingredient of bakewell tart is shortcrust pastry.', 'Shortcrust pastry is a main ingredient of a Bakewell tart.', 'Shortcrust pastry is a key ingredient in a Bakewell tart.']"
webNLG,['Bakewell_tart | region | Derbyshire_Dales'],"['Bakewell tart comes from the Derbyshire Dales region.', 'Bakewell Tart is a dish that comes from the Derbyshire Dales region.', 'The bakewell tart is popular in the Derbyshire Dales area.']"
webNLG,['Bakso | country | Chinese_cuisine'],"['Bakso is from the Chinese cuisine.', 'Bakso is made in China.']"
webNLG,['Bakso | country | Indonesia'],"['Indonesia is the country Bakso comes from.', 'Bakso is a dish from the country of Indonesia.']"
webNLG,['Bakso | ingredient | Beef'],['Beef is an ingredient of Bakso.']
webNLG,['Bakso | ingredient | Celery'],"['Celery is an ingredient of Bakso.', 'Celery is an ingredient in Bakso.']"
webNLG,['Bakso | ingredient | Ground_beef'],"['Ground beef is an ingredient in Basko.', 'Ground beef is one ingredient in Bakso.', 'Ground beef is an ingredient of Bakso.']"
webNLG,['Bakso | ingredient | Tapioca'],['Tapioca is an ingredient in bakso.']
webNLG,"['Bakso | mainIngredients | ""Ground beef, tapioca, noodle, rice vermicelli, beef broth, kailan, celery, salted vegetables, fried shallots""']","['Ground beef, tapioca, noodle, rice vermicelli, beef broth, kailan, celery, salted vegetables, fried shallots are the main ingredients of Bakso.', 'The main ingredients of Bakso are ground beef, tapioca, noodle, rice vermicelli, beef broth, kailan, celery, salted vegetables and fried shallots.', 'Ground beef, tapioca, noodle, rice vermicelli, beef broth, kailan, celery, salted vegetables, and fried shallots are main ingredients in Bakso.']"
webNLG,"['Bakso | region | ""Nationwide in Indonesia, also popular in neighboring Southeast Asian countries""']","['Bakso is popular in the Indonesian region and also in the neighbouring Southeast Asian countries.', 'Bakso is a traditional dish throughout the whole of Indonesia and is popular in neighbouring Southeast Asian countries too.', 'Bakso is popular all over Indonesia and Southeastern Asian countries.']"
webNLG,['Bakso | region | Indonesia'],"['Bakso is a food found in Indonesia.', 'Bakso is food found in Indonesia.']"
webNLG,['Bandeja_paisa | ingredient | Arepa'],"['Arepa is an ingredient of Bandeja paisa.', 'Arepa is one of the ingredients in Bandeja paisa.']"
webNLG,['Bandeja_paisa | ingredient | Avocado'],['Avocado is one of the ingredients in the dish Bandeja paisa.']
webNLG,['Bandeja_paisa | ingredient | Black_pudding'],"['Black pudding is an ingredient in Bandeja paisa.', 'Black pudding is included in the list of ingredients needed to make Bandeja paisa.']"
webNLG,['Bandeja_paisa | ingredient | Cooking_plantain'],"['Plantain is one of the ingredients in the dish Bandeja paisa.', 'Cooking plantain is an ingredient in bandeja paisa.']"
webNLG,['Bandeja_paisa | ingredient | Fried_egg'],"['Fried egg is an ingredient of Bandeja paisa.', 'Fried egg is one of the ingredients of Bandeja paisa.', 'fried egg is an ingredient in bandeja paisa.']"
webNLG,['Bandeja_paisa | ingredient | Ground_meat'],['Ground meat is an ingredient in bandeja paisa.']
webNLG,['Bandeja_paisa | ingredient | Hogao'],['Hogao is an ingredient of Bandeja paisa.']
webNLG,['Bandeja_paisa | ingredient | Kidney_bean'],"['The kidney bean is an ingredient in Bandeja paisa.', 'Kidney beans are an ingredient in Bandeja paisa.']"
webNLG,['Bandeja_paisa | ingredient | Lemon'],"['Lemon is an ingredient of Bandeja paisa.', 'One of the ingredients in Bandeja paisa is lemon.', 'Lemon is an ingredient in Bandeja paisa.']"
webNLG,['Bandeja_paisa | ingredient | Pork_belly'],"['Pork belly is an ingredient in the dish Bandeja paisa.', 'Pork belly is an ingredient in Bandeja paisa.', 'one of the ingredients of Bandeja paisa is Pork belly.']"
webNLG,['Bandeja_paisa | ingredient | Rice'],"['Rice is an ingredient in bandeja paisa.', 'Rice is an ingredient of Bandeja paisa.', 'Rice is included in Bandeja paisa.']"
webNLG,"['Bandeja_paisa | mainIngredients | ""red beans, pork belly, white rice, ground meat, chicharon, fried egg, plantain (patacones), chorizo, arepa, hogao sauce, black pudding (morcilla), avocado and lemon""']","['The main ingredients in bandeja paisa are red beans, pork belly, white rice, ground meat, chicharon, fried egg, plantain (patacones), chorizo, arepa, hogao sauce, black pudding (morcilla), avocado and lemon.', 'The main ingredients of Bandeja paisa are: red beans, pork belly, white rice, ground meat, chicharon, fried egg, plantain (patacones), chorizo, arepa, hogao sauce, black pudding (morcilla), avocado and lemon"".', 'The main ingredients of Bandeja paisa are red beans, pork belly, white rice, ground meat, chicharon, fried egg, plantain (patacones), chorizo, arepa, hogao sauce, black pudding (morcilla), avocado and lemon.']"
webNLG,['Bandeja_paisa | region | Antioquia_Department'],"['Bandeja paisa is found in the Antioquia Department.', 'Antioquia Department is the regions where Bandeja paisa comes from.', 'Bandeja paisa is a dish from the Antioquia Department region.']"
webNLG,['Barny_Cakes | carbohydrate | 18.0 g'],"['Barny cakes have 18 grams of carbs.', 'Barny Cakes have 18.0g of carbohydrates.']"
webNLG,['Barny_Cakes | country | France'],"['The country Barny Cakes come from is France.', 'Barny cakes can be found in France.']"
webNLG,['Barny_Cakes | dishVariation | Apple'],['barny cakes can be made with apple.']
webNLG,['Barny_Cakes | dishVariation | Milk'],['One dish variation called Barny Cakes is the use of milk in the recipe.']
webNLG,['Barny_Cakes | dishVariation | Strawberry'],"['Strawberries can be added to barny cakes.', 'a variation of Barny Cakes is to use Strawberry.']"
webNLG,['Barny_Cakes | fat | 4.8 g'],"['Barny cakes contain 4.8 g of fat.', 'Barny cakes contain 4.8g of fat.']"
webNLG,['Barny_Cakes | ingredient | Sponge_cake'],['Barny cakes are made with sponge cake.']
webNLG,['Barny_Cakes | year | 1999'],"['Barny cakes were invented in 1999.', 'Barny Cakes were introduced in 1999.']"
webNLG,['Batagor | country | Indonesia'],"['Batagor comes from the country of Indonesia.', 'Batagor is found in Indonesia.', 'Batagor is found in the country of Indonesia.']"
webNLG,['Batagor | dishVariation | Siomay'],"['Batagor is a variation of the Siomay dish.', 'Batagor and Siomay are variations of the same dish.']"
webNLG,['Batagor | ingredient | Peanut_sauce'],['Peanut sauce is an ingredient of batagor.']
webNLG,"['Batagor | servingTemperature | ""hot""']","['Batagor should be served hot.', 'Batagor is a dish best served hot.', 'Batagor should be served ""hot"".']"
webNLG,['Batchoy | course | Soup'],"['Batchoy is a dish served as a soup course.', 'Batchoy is a type of soup.']"
webNLG,['Batchoy | ingredient | Beef'],"['Beef is an ingredient of Batchoy.', 'beef is an ingredient in batchoy.']"
webNLG,['Batchoy | ingredient | Noodle'],['Noodles are an ingredient in batchoy.']
webNLG,['Batchoy | ingredient | Pork'],"['Pork is an ingredient of Batchoy.', 'Pork is an ingredient in Batchoy.', 'one of the ingredients of Batchoy is Pork.']"
webNLG,"['Batchoy | mainIngredients | ""noodles, pork organs, vegetables, chicken, shrimp, beef""']","['The main ingredients of batchoy are noodles, pork organs, vegetables, chicken, shrimp, and beef.', 'The main ingredients of Batchoy are noodles, pork organs, vegetables, chicken, shrimp and beef.', 'The main ingredients of Batchoy are noodles, pork organs, vegetables, chicken, shrimp, beef.']"
webNLG,"['Batchoy | region | La_Paz,_Iloilo_City']","['Batchoy is a food found in La Paz, Iloilo City.', 'Batchoy originated from the region of La Paz, Iloilo City.']"
webNLG,"['Beef_kway_teow | country | ""Singapore and Indonesia""']","['Beef kway teow is found in the countries of Indonesia and Singapore.', 'Beef kway teow is a dish commonly found in Singapore and Indonesia.', 'Beef Kway Teow is made in Singapore and Indonesia.']"
webNLG,['Beef_kway_teow | country | Indonesia'],"['Beef kway teow is a dish in Indonesia.', 'Beef kway teow comes from the country of Indonesia.', 'Beef kway teow is a popular food of Indonesia.']"
webNLG,['Beef_kway_teow | country | Singapore'],"['Beef kway teow is a dish from the country of Singapore.', 'Beef kway teow is a popular dish in Singapore.']"
webNLG,['Beef_kway_teow | ingredient | Oyster_sauce'],"['Oyster sauce is an ingredient in Beef kway teow.', 'Oyster sauce is contained in Beef kway teow.']"
webNLG,['Beef_kway_teow | ingredient | Palm_sugar'],"['Palm sugar is an ingredient in beef kway teow.', 'Palm sugar is an ingredient of Beef kway teow.']"
webNLG,['Beef_kway_teow | ingredient | Sesame_oil'],['Sesame oil is an ingredient in beef kway teow.']
webNLG,"['Beef_kway_teow | mainIngredients | ""Kway teow, beef tender loin, gula Melaka, sliced, dried black beans, garlic, dark soy sauce, lengkuas, oyster sauce, soya sauce, chilli and sesame oil""']","['Kway teow, beef tender loin, gula Melaka, sliced, dried black beans, garlic, dark soy sauce, lengkuas, oyster sauce, soya sauce, chilli and sesame oil are the main ingredients of Beef kway teow.', 'The main ingredients for Beef Kway Teow are: Kway teow, beef tender loin, gula Melaka, sliced, dried black beans, garlic, dark soy sauce, lengkuas, oyster sauce, soya sauce, chilli and sesame oil.', 'Kway teow, beef tender loin, gula Melaka, sliced, dried black beans, garlic, dark soy sauce, lengkuas, oyster sauce, soya sauce, chilli and sesame oil are main ingredients in beef kway teow.']"
webNLG,"['Beef_kway_teow | region | ""Nationwide in Singapore and Indonesia""']","['Beef kway teow is a dish that is popular nationwide in Singapore and Indonesia.', 'Beef kway teow is available nationwide in Singapore and Indonesia.']"
webNLG,['Beef_kway_teow | region | Singapore'],"['Beef kway teow comes from the Singapore region.', 'Beef kway teow originates from Singapore.', 'Beef kway teow is a dish of Singapore.']"
webNLG,['Bhajji | country | India'],"['Bhajji comes from the country India.', 'Bhajji originates from India.']"
webNLG,['Bhajji | ingredient | Gram_flour'],"['Gram flour is an ingredient in Bhajji.', 'Gram flour is an ingredient of a Bhajji.']"
webNLG,['Bhajji | ingredient | Vegetable'],['Bhajji includes the ingredient vegetables.']
webNLG,"['Bhajji | mainIngredients | ""Gram flour, vegetables""']","['The main ingredients in Bhajji are gram flour and vegetables.', 'Gram flour and vegetables are main ingredients in bhajji.']"
webNLG,['Bhajji | region | Karnataka'],"['Bhajji are found in the region of Karnataka.', 'Bhajji come from the Karnataka region.', 'Bhajji is from the Karnataka region.']"
webNLG,['Bhajji | related | Pakora'],"['The dish bhajji is related to pakora.', 'Bhajji is a snack that is similar to Pakora.', 'bhajji and pakora are related.']"
webNLG,"['Bhajji | similarDish | ""Pakora and other fritters made from wheat or corn flour""']","['Bhajji is a dish similar to pakora and other fritters made from whet or corn flour.', 'Pakora and other fritters made from wheat or corn flour are similar to bhajji.', 'Bhajji is a similar dish to pakora and other fritters made from wheat or corn flour.']"
webNLG,['Binignit | country | Philippines'],"['The county Binignit comes from is the Philippines.', 'The binignit dish can be found in the Philippines.']"
webNLG,['Binignit | course | Dessert'],"['Binignit should be served as the dessert course.', 'Binignit is a type of dessert.', 'Binignit is a dessert.']"
webNLG,['Binignit | ingredient | Banana'],['Banana is an ingredient in binignit.']
webNLG,['Binignit | ingredient | Coconut_milk'],"['Coconut milk is an ingredient of Binignit.', 'coconut milk is an ingredient in Binignit.']"
webNLG,['Binignit | ingredient | Sago'],"['Sago is an ingredient of Binignit.', 'Sago is one of the ingredients used to make Binignit.', 'sago is an ingredient in Binignit.']"
webNLG,['Binignit | ingredient | Sweet_potato'],"['Sweet potato is and ingredient in Binignit.', 'Sweet potatoes are in binignit recipes.', 'one of the ingredients of Binignit is Sweet potato.']"
webNLG,['Binignit | mainIngredients | Banana'],"['One of the main ingredients in binignit is banana.', 'The main ingredient of Binignit is banana.']"
webNLG,['Binignit | mainIngredients | Coconut_milk'],"['One of the main ingredients of binignit is coconut milk.', 'The main ingredient of Bingnit is coconut milk.']"
