prefix,input_text,target_text
webNLG,"['Acharya_Institute_of_Technology | motto | ""Nurturing Excellence""']","[""Acharya Institute of Technology's motto is Nurturing Excellence."", ""The motto of the Acharya Institute of Technology is 'Nurturing Excellence.'."", 'The motto of the Acharya Institute of Technology is ""Nurturing Excellence"".']"
webNLG,"['Acharya_Institute_of_Technology | nickname | ""AIT""']","['AIT is the nickname for the Acharya Institute of Technology.', 'The nickname of the Acharya Institute of Technology is AIT.', 'Acharya Institute of Technology is known as AIT.']"
webNLG,['Acharya_Institute_of_Technology | numberOfPostgraduateStudents | 700'],"['The number of post graduate students at the Acharya Institute of Technology is about 700.', 'The number of postgraduate students in Acharya Institute of Technology is ~700.', 'There are around 700 postgraduate students at the Acharya Institute of Technology.', 'There are about 700 post graduate students at the Acharya Institute of Technology.', 'Acharya Institute of Technology has 700 postgraduate students.', '700 students are enrolled in a post-graduate program at Acharya Institute of Technology.']"
webNLG,['Acharya_Institute_of_Technology | numberOfUndergraduateStudents | 10000'],"['The number of undergraduates attending the Acharya Institute of Technology is roughly 10000 students.', ""Acharya Institute of Technology's number of Undergraduate students total to ~10000."", 'There are around 10000 undergraduate students at the Acharya Institute of Technology.', 'The Acharya Institude of Technology has 10000 undergraduate students.', 'The Acharya Institute of Technology has 10000 undergraduate students.', 'Acharya Institute of Technology has 10,000 undergraduate students.']"
webNLG,"['Acharya_Institute_of_Technology | officialSchoolColour | ""Blue, White and Orange""']","['Blue, white and orange are the colours adopted by Acharya Institute of Technology.', 'Blue, white and orange are the colours of Acharya Institute of Technology.', ""Acharya Institute of Technology's official colors are Blue, White and Orange."", 'The official school colours of the Archarya Institute of Technology are blue, white and orange.', 'Acharya Institute of Technology official school colors are Blue White and Orange.', 'Acharya Institue of Technology official school colours are blue, white and orange.']"
webNLG,['Acharya_Institute_of_Technology | outlookRanking | 63'],"['The outlook ranking for the Acharya Institute of Technology is 63.', ""Acharya Institute of Technology's outlook ranking is 63."", 'Acharya Institute of Technology has an outlook ranking of 63.']"
webNLG,['Acharya_Institute_of_Technology | sportsOffered | Tennis'],"['Tennis is one of the sports offered at the Acharya Institute of Technology.', 'Acharya Institute of Technology offers Tennis as a sport.', 'One of the sports offered at the Acharya Institute of Technology is tennis.', 'The Acharya Institute of Technology offers sports including tennis.']"
webNLG,['Acharya_Institute_of_Technology | state | Karnataka'],"['The Acharya Institute of Technology is in the state of Karnataka.', 'Acharya Institute of Technology is located in the state of Karnataka.', 'Acharya Institute of Technology is in Karnataka state.']"
webNLG,"[""Acharya_Institute_of_Technology | was given the 'Technical Campus' status by | All_India_Council_for_Technical_Education""]","['The All India Council for Technical Education was proud to give the Technical Campus status to the Acharya Institute of Technology.', 'Acharya Institute of Technology was given the Technical Campus status by the All India Council for Technical Education.', ""Acharya Institute of Technology was given the 'Technical Campus' status by All India Council for Technical Education.""]"
webNLG,['All_India_Council_for_Technical_Education | location | Mumbai'],"['All India Council for Technical Education is located in Mumbai.', 'The All India Council for Technical Education is located in Mumbai.']"
webNLG,['Bangalore | founder | Kempe_Gowda_I'],"['Kempe Gowda I founded Bangalore.', 'The founder of Bangalore was Kempe Gowda.', 'Kempe Gowda I was the founder of Bangalore.']"
webNLG,['Denmark | leaderName | Lars_Løkke_Rasmussen'],"['Lars Lokke Rasmussen is the leader of Denmark.', ""One of Denmark's leaders is Lars Lokke Rasmussen."", ""Denmark's leader is Lars L??kke Rasmussen."", 'The leader of Denmark is Lars Lokke Rasmussen.', 'The Leader of Denmark is Lars L??kke Rasmussen.', 'Lars L??kke Rasmussen is the leader of Denmark.']"
webNLG,['Denmark | leaderTitle | Monarchy_of_Denmark'],"['Denmark is led by a Monarch.', ""The Monarch of Denmark is the country's leader.""]"
webNLG,['Denmark | religion | Church_of_Denmark'],"['The official religion of Denmark is the Church of Denmark.', ""Denmark's religion is led by Church of Denmark."", 'Church of Denmark is the religion of Denmark.']"
webNLG,['European_University_Association | headquarters | Brussels'],"['The headquarters of the European University Association is in Brussels.', 'The European University Associatian headquarter is in Brussels.']"
webNLG,['India | largestCity | Mumbai'],"['The largest city in India is Mumbai.', ""Mumbai is India's largest city.""]"
webNLG,['India | river | Ganges'],"['The Ganges is a river in India.', ""The Ganges is India's most well known river.""]"
webNLG,['Karnataka | has to its northeast | Telangana'],"['Karnataka neighbors Telangana to its northeast.', 'Karnataka has to its northeast Telangana.', 'To the northeast of Karnataka is Telagana.']"
webNLG,['Karnataka | has to its west | Arabian_Sea'],"['The Arabian Sea is west of Karnataka.', 'The west of Karnataka is the Arabian Sea.', 'To the west Karnataka borders on the Arabian Sea.']"
webNLG,['Kerala | leaderName | Kochi'],"['Kochi is the leader of Kerala.', 'The leader of Kerala is Kochi.', 'The Kerala leader is in Kochi.']"
webNLG,"['Romania | anthem | Deșteaptă-te,_române!']","['The anthem of Romania is called Desteapta te romane.', 'Desteapta te, romane is the Romanan anthem.', 'The national anthem of Romania is Desteapta-te, romane!']"
webNLG,['Romania | ethnicGroup | Germans_of_Romania'],"['One of the ethnic groups in Romania are the Germans of Romania.', 'Germans of Romania is an ethnic group in Romania.', 'The Germans of Romania are an ethnic group in Romania.', 'Romania has many ethnic groups one of which are Germans.']"
webNLG,['Romania | leaderName | Klaus_Iohannis'],"['The leader of Romania is Klaus Iohannis.', ""Romania's leader is Klaus Iohannis.""]"
webNLG,['Romania | leaderTitle | Prime_Minister_of_Romania'],"['The leader of Romania is known as the Prime Minister.', ""Romania's leader is call the Prime Minister of Romania."", 'The title of the leader of Romania is ""Prime Minister"".']"
webNLG,['School of Business and Social Sciences at the Aarhus University | affiliation | European_University_Association'],"['The Aarhus University School of Business and Social Sciences is affiliated with the European University Association.', 'The School of Business and Social Sciences at the Aarhus University is affiliated to European University Association.', 'The School of Business and Social Sciences at Aarhus University is affiliated to the European University Association.', 'The School of Business and Social Sciences at the Aarhus University is affiliated with the European University Association.']"
webNLG,['School of Business and Social Sciences at the Aarhus University | city | Aarhus'],"['The Aarhus University School of Business and Social Sciences is in the city of Aarhus.', 'The School of Business and Social Sciences at Aarhus University is situated in the city of Aarhus.', 'The School of Business and Social Sciences at the Aarhus University is located in the city of Aarhus.']"
webNLG,['School of Business and Social Sciences at the Aarhus University | established | 1928'],"['The School of Business and Social Sciences at Aarhus University was established in 1928.', 'Aarhus University School of Business and Social Sciences was established in 1928.', 'The School of Business and Social Sciences at the Aarhus University was established in 1928.', 'The School of Business and Social Sciences at the Aarhus University is established in 1928.']"
webNLG,"['School of Business and Social Sciences at the Aarhus University | latinName | ""Universitas Aarhusiensis""']","['The latin name of School of Business and Social Sciences at the Aarhus University is ""Universitas Aarhusiensis"".', 'The latin name of the School of Business and Social Sciences at Aarhus University is ""universitas Aarhusiensis"".', 'The School of Business and Social Sciences at the Aarhus University has the latin name Universitas Aarhusiensis.']"
webNLG,['Switzerland | anthem | Swiss_Psalm'],"['The Swiss Psalm is the anthem of Switzerland.', 'The anthem of Switzerland is called the Swiss Psalm.']"
webNLG,['Switzerland | leaderName | Johann_Schneider-Ammann'],"['Johann Schneider Ammann is the leader of Switzerland.', 'Johann Schneider-Ammann is the leader of Switzerland.', 'The leader of Switzerland is Johann Schneider-Ammann.', 'Switzerland has a leader called Johann Schneider Ammann.', 'Johann Schneider Ammann is the name of the leader of Switzerland.', ""The leader of Switzerland is Johann 'Schneider-Ammann.""]"
webNLG,['Switzerland | leaderTitle | Federal_Chancellor_of_Switzerland'],"['The Federal Chancellor of Switzerland helps to lead the country.', 'The Federal Chancellor of Switzerland is the title of the leader of Switzerland.', 'The leader of Switzerland is titled the Federal Chancellor of Switzerland.']"
webNLG,['Switzerland | legislature | Federal_Assembly_(Switzerland)'],"[""Switzerland's legislature is formed in the Federal Assembly."", ""Switzerland's legislature is known as the Federal Assembly."", 'The Federal Assembly legislates in Switzerland.']"
webNLG,['Tennis | sportsGoverningBody | International_Tennis_Federation'],"['The sport Tennis has a Governing Body called the International Tennis Federation.', 'The International Tennis Federation is the Governing Body for the tennis sport.', 'The tennis sport is governed by the International Tennis Federation.', 'The International Tennis Federation is the Governing Body of the sport of tennis.', 'The International Tennis Federation is the governing body of tennis.', 'The sports governing body of tennis is the International Tennis Federation.']"
webNLG,['Visvesvaraya_Technological_University | city | Belgaum'],"['The Visvesvaraya Technologiccal University is in the city of Belgaum.', 'Visvesvaraya Technological University is in the city of Belgaum.', 'Visvesvaraya Technological University is located in Belgaum.']"
