prefix,input_text,target_text
webNLG,"['Alan_Bean | almaMater | ""UT Austin, B.S. 1955""']","['The Alma Mater of Alan Bean is UT Austin, B.S. 1955.', 'Alan Bean graduated in 1955 from UT Austin with a B.S.', 'Alan Bean graduated from UT Austin in 1955 with a B.S.', 'Alan Bean graduated from UT Austin in 1955 with a Bachelor of Science degree.', 'Alan Bean received a Bachelor of Science degree at the University of Texas at Austin in 1955.']"
webNLG,"['Alan_Shepard | deathDate | ""1998-07-21""']","['Alan Shepard died on the 21st of July, 1998.', 'Alan Shepard died July 21st, 1998.', 'Alan Shepard died on July 21, 1998.', 'Alan Shepard died on 1998-07-21.', 'Alan Shepard died 1998-07-21.']"
webNLG,['Alan_Shepard | nationality | United_States'],"['The nationality of Alan Shepard is United States.', ""Alan Shepard's nationality is the United States."", 'Alan Shepard is an American.', 'Alan Shepard is from the United States.', 'Alan Shepard was from the United States.', 'Alan Shepard was American.']"
webNLG,['Alan_Shepard | occupation | Test_pilot'],"[""Alan Shepard's occupation was a test pilot."", 'Alan Shepard served as a Test pilot.', 'Alan Shepard was a test pilot.']"
webNLG,['Alan_Shepard | served as Chief of the Astronaut Office in | 1963'],"['Alan Shepard was the Chief of the Astronaut Office in 1963.', 'Alan Shepard served as Chief of the Astronaut Office in 1963.']"
webNLG,"['Alan_Shepard | status | ""Deceased""']","['Alan Shepard is dead.', 'Alan Shepard is deceased.']"
webNLG,"['Alan_Shepard | timeInSpace | ""13017.0""(minutes)']","[""Alan Shepard's time in space amounted to 13017.0 minutes."", 'Alan Shepard spent 13017 minutes in space.', '13017,0 minutes is the time Alan Shepard spent in space.', 'Alan Shepard spent 130017 minutes in space.', 'Alan Shepard spent just over 9 days in space.', ""Alan Shepard's time in space is 13017 minutes."", 'Alan Shepard spent 13017.0 minutes in space.']"
webNLG,['Alan_Shepard | title | Chief_of_the_Astronaut_Office'],"['Alan Shepard was the Chief of the Astronaut Office.', 'Alan Shepard served as the Chief of the Astronaut Office.', 'Alan Shepard performed as the Chief of the Astronaut Office.']"
webNLG,['Alan_Shepard | was a crew member of | Apollo_14'],"['Alan Shepard was a crew member of Apollo 14.', 'Alan Shepard served as a crew member of Apollo 14.', 'Alan Shepard was a member of the Apollo 14 crew.', 'Alan Shepard was a crew member aboard Apollo 14.', 'Alan Shepard was on the crew of Apollo 14.', 'Alan Shepard was a member of the crew of Apollo 14.']"
webNLG,"['Alan_Shepard | was awarded | ""American Defense Service ribbon.svg""']","['Alan Shepard was awarded the american defence service ribbon.', 'Alan Shepard was awarded American Defense Service ribbon.', 'Alan Shepard was awarded the American Defense Service Ribbon.', 'Alan Shepard won the American Defense Service ribbon.', 'Alan Shepard was awarded with the American Defense Service ribbon.']"
webNLG,['Alan_Shepard | was selected by NASA | 1959'],"['NASA selected Alan Shepard in 1959.', 'In 1959, Alan Shepard was selected by NASA.', 'Alan Shepard was selected by NASA in 1959.', 'Alan Shepard was chosen by NASA in 1959.', 'Alan Shepard was hired by NASA in 1959.']"
webNLG,['Apollo_11 | operator | NASA'],"['Apollo 11 was operated by NASA.', 'The Apollo 11 program was organized by NASA.']"
webNLG,['Apollo_12 | backup pilot | Alfred_Worden'],"['Alfred Worden was a backup pilot of Apollo 12.', ""Apollo 12's backup pilot was Alfred Worden."", 'Alfred Worden was the backup pilot of Apollo 12.']"
webNLG,['Apollo_12 | commander | David_Scott'],"['Apollo 12 was commanded by David Scott.', 'David Scott was the commander of Apollo 12.']"
webNLG,['Apollo_12 | operator | NASA'],"['The operator of Apollo 12 was NASA.', 'The Apollo 12 operator is NASA.', 'NASA operated Apollo 12.', 'The Apollo 12 mission was operated by NASA.', 'Apollo 12 is operated by NASA.']"
webNLG,['Apollo_8 | commander | Frank_Borman'],"['Frank Borman was an Apollo 8 Commander.', 'Frank Borman was the Apollo 8 commander.', 'The Apollo 8 commander was Frank Borman.']"
webNLG,['Apollo_8 | crewMembers | Frank_Borman'],"['Frank Borman was a member of the crew on Apollo 8.', 'Frank Borman was a crew member of Apollo 8.', 'Apollo 8 crew members included Frank Borman.', 'Frank Borman was a crewman aboard Apollo 8.', 'Frank Borman was a crew member on Apollo 8.']"
webNLG,['British_Hong_Kong | representative | Chris_Patten'],"['Chris Patten served as a representative of British Hong Kong.', 'Chris Patten represented British Hong Kong.', 'Chris Patten is a representative of British Hong Kong.', 'The British Hong Kong representative is Chris Patten.']"
webNLG,"['Buzz_Aldrin | alternativeNames | ""Edwin E. Aldrin, Jr.""']","['Edwin E. Aldrin, Jr. was commonly known as Buzz Aldrin.', ""Buzz Aldrin's real name was Edwin E. Aldrin, Jr."", 'Buzz Aldrin is also called Edwin E. Aldrin Jr.']"
webNLG,['Buzz_Aldrin | awards | 20'],"[""The number of Buzz Aldrin's awards are 20."", 'Buzz Aldrin won 20 awards.', 'Buzz Aldrin received 20 awards.', 'Buzz Aldrin has won 20 awards.', 'Buzz Aldrin had 20 awards.']"
webNLG,"['Buzz_Aldrin | birthDate | ""1930-01-20""']","[""Buzz Aldrin's birth date was 1930 01 20."", 'Buzz Aldrin was born January 20, 1930.', 'Buzz Aldrin was born on 1930-01-20.', ""Buzz Aldrin's birth date is January 20, 1930."", 'Buzz Aldrin was born on January 20th, 1930.', 'Buzz Aldrin was born on the 20th of January 1930.', 'Buzz Aldrin was born on January 20,1930.']"
webNLG,"['Buzz_Aldrin | birthName | ""Edwin Eugene Aldrin Jr.""']","[""Buzz Aldrin's birth name is Edwin Eugene Aldrin Jr."", 'Buzz Aldrin was born as Edwin Eugene Aldrin Jr.', 'Buzz Aldrin was born Edwin Eugene Aldrin Jr.', ""Buzz Aldrin's birth name was Edwin Eugene Aldrin Jr."", 'Buzz Aldrin was born with the name Edwin Eugene Aldrin Jr.']"
webNLG,"['Buzz_Aldrin | birthPlace | Glen_Ridge,_New_Jersey']","['Buzz Aldrin was born in Glen Ridge, New Jersey.', 'Buzz Aldrin was born in Glen Ridge New Jersey.', ""Buzz Aldrin's birth place was Glen Ridge, New Jersey.""]"
webNLG,"['Buzz_Aldrin | dateOfRetirement | ""1971-07-01""']","['Buzz Aldrin retired on the 7th of January 1971.', 'Buzz Aldrin date of retirement was 1971/07/01.', 'Buzz Aldrin\'s retirement date is ""1971-07-01"".', 'Buzz Aldrin retired on July 1st, 1971.', 'Buzz Aldrin retired on July 1, 1971.', 'Buzz Aldrin retired on the 1st of July 1971.', 'Buzz Aldrin retired on 1971-07-01.', 'Buzz Aldrin retired on Jul 1, 1971.']"
webNLG,['Buzz_Aldrin | occupation | Fighter_pilot'],"['Buzz Aldrin was a fighter pilot.', 'Buzz Aldrin served as a Fighter pilot.', ""Buzz Aldrin's occupation was a fighter pilot."", 'Buzz Aldrin performed as a fighter pilot.']"
webNLG,"['Buzz_Aldrin | status | ""Retired""']","['Buzz Aldrin is retired.', 'Buzz Aldrin is now retired.', 'Buzz Aldrin has retired.']"
webNLG,"['Buzz_Aldrin | timeInSpace | ""52.0""(minutes)']","['Buzz Aldrin was in space for 52 minutes.', 'Buzz Aldrin spent a total of 52.0 minutes in space.', 'Buzz Aldrin spent 52.0 minutes in Space.', 'Buzz Aldrin spent 52 minutes in space.', 'Buzz Aldrin walked in space 52.0 minutes.']"
webNLG,"['Buzz_Aldrin | was awarded | ""Legion of Merit ribbon.svg""']","['Buzz Aldrin was awarded the Legion of Merit ribbon.', 'Buzz Aldrin was awarded with Legion of Merit ribbon.', 'Buzz Aldrin won the Legion of Merit ribbon.', 'Buzz Aldrin was awarded the ""Legion of Merit"" ribbon.', ""Buzz Aldrin was awarded the 'Legion of Merit' ribbon.""]"
webNLG,['California | fossil | Smilodon'],"['Smilodon is a fossil from California.', 'California have fossils of the Smilodon.', 'A Smilodon is a fossil from California.', 'The Smilodon fossil was found in California.']"
webNLG,['California | senators | Dianne_Feinstein'],"['The Senator representing California was Dianne Feinstein.', ""One of California's senators is Dianne Feinstein."", 'Dianne Feinstein is a senator in California.', 'Dianne Feinstein is a senator in the State of California.']"
webNLG,"['Dallas | part | Collin_County,_Texas']","['Dallas is in Collin County, Texas.', 'Dallas is located in the Collin County in Texas.']"
webNLG,['Dallas | partsType | List_of_counties_in_Texas'],['Dallas is a county in Texas.']
webNLG,['Distinguished_Service_Medal_(United_States_Navy) | higher | Department_of_Commerce_Gold_Medal'],"['the Distinguished service medal from the Navy is higher than the department of commerce gold medal.', 'The Distinguished Service Medal of the United States Navy is higher than the Department of Commerce Gold Medal.', 'Distinguished Service Medal from United States Navy ranks higher than Department of Commerce Gold Medal.']"
webNLG,['Elliot_See | almaMater | University_of_Texas_at_Austin'],"['Elliot See was a student at University of Texas at Austin.', 'Elliot See attended the University of Texas at Austin.', 'Elliot See graduated from the University of Texas at Austin.']"
webNLG,"['Elliot_See | birthDate | ""1927-07-23""']","['Elliot was born on the 23rd of July 1927.', 'Elliot See was born on July 23, 1927.', 'Elliot See was born on July 23rd, 1927.', 'Elliot See was born on 23rd July 1927.', 'Elliot See was born on 07/23/1927.']"
webNLG,['Elliot_See | birthPlace | Dallas'],['Elliot See was born in Dallas.']
webNLG,['Elliot_See | nationality | United_States'],"['The nationality of Elliot See is United States.', 'Elliot See had a nationality that was of the United States.', 'Elliot See is from the United States.', 'Elliot See is a United States national.']"
webNLG,['Elliot_See | was selected by NASA | 1962'],"['NASA selected Elliot See in 1962.', 'Elliot See joined NASA in 1962.', 'Elliot See was selected by NASA in 1962.', 'Elliot See worked for NASA beginning in 1962,.', 'Elliot See was chosen by NASA in 1962.']"
webNLG,"['Glen_Ridge,_New_Jersey | isPartOf | Essex_County,_New_Jersey']","['Glen Ridge is in the Essex County in New Jersey.', 'Glen Ridge is located in the Essex County in New Jersey.', 'Glen Ridge, New Jersey is situated in the Essex County.']"
webNLG,['New_Hampshire | bird | Purple_finch'],"['The purple finch is a native bird to New Hampshire.', 'The Purple finch is a bird found in New Hampshire.', 'The Purple Finch is a New Hampshire bird.', 'The Purple Finch is a bird living in New Hampshire.', 'The New Hampshire state bird is the purple finch.']"
webNLG,['St._Louis | isPartOf | Kingdom_of_France'],"['St. Louis was situated in the Kingdom of France.', 'St. Louis was part of the Kingdom of France.', 'St. Louis is part of the Kingdom of France.', 'St. Louis was a part of the kingdom of France.']"
webNLG,['St._Louis | leaderName | Francis_G._Slay'],"[""The name of St Louis' leader is Francis G. Slay."", 'Francis G Slay is the Mayor of St Louis.']"
webNLG,['United_States | leader | Joe_Biden'],"['Joe Biden is the United States leader.', 'Joe Biden is a United States leader.', 'Joe Biden was a representative of the United States.', 'Joe Biden is a leader of the United States.']"
webNLG,['United_States | leaderName | Joe_Biden'],"['The United States leader was called Joe Biden.', ""Joe Biden served as United State's vice president."", 'Joe Biden is a United States leader.']"
webNLG,['University_of_Texas_at_Austin | affiliation | University_of_Texas_System'],"['University of Texas at Austin is affiliated with University of Texas System.', 'The University of Texas, Austin, is affiliated with the University of Texas System.']"
webNLG,['University_of_Texas_at_Austin | compete in | Big_12_Conference'],"['The University of Texas at Austin is competing in the Big 12 Conference.', 'The University of Texas, Austin, will compete in the Big 12 Conference.', 'The University of Texas competed in the Big 12 Conference in Austin.']"
webNLG,['University_of_Texas_at_Austin | president | Gregory_L._Fenves'],"['Gregory L. Fenves is the President of University of Texas at Austin.', 'Gregory L. Fenves is the appointed president of the University of Texas at Austin.', 'Gregory L. Fenves was appointed as the president of the University of Texas at Ausitin.']"
webNLG,"['William_Anders | almaMater | ""AFIT, M.S. 1962""']","['In 1962, William Anders received a M.S. from his alma Mater, AFIT.', 'William Anders graduated, with an M.S., from AFIT in 1962.', 'William Anders graduated from AFIT in 1962 with an M.S.', 'William Anders graduated from AFIT, M.S. in 1962.']"
webNLG,"['William_Anders | birthDate | ""1933-10-17""']","['William Anders was born on October 17th, 1933.', 'William Anders was born October 17th 1933.', 'William Anders was born on October 17, 1933.', 'William Anders was born 1933-10-17.', 'William Anders was born on the 17th of October 1933.']"
webNLG,['William_Anders | birthPlace | British_Hong_Kong'],['William Anders was born in British Hong Kong.']
webNLG,"['William_Anders | dateOfRetirement | ""1969-09-01""']","['William Anders retired on September 1st, 1969.', 'William Anders retired Sept 1st 1969.', 'William Anders retired on September 1, 1969.', 'William Anders retired in 1969-09-01.', 'William Anders retired 1969-09-01.', 'William Anders retired on the 1st of September 1969.']"
webNLG,['William_Anders | nationality | United_States'],"['Willian Anders has a nationality that is of the United States.', 'William Anders is an American.', 'The nationality of William Anders is United States.', 'William Anders is from the United States.', 'William Anders was from the United STates.', 'William Anders is a US national.']"
webNLG,['William_Anders | occupation | Fighter_pilot'],"['William Anders was a Fighter pilot.', 'William Anders served as a Fighter pilot.', 'William Anders is a fighter pilot.', 'William Anders is a test pilot.']"
webNLG,['William_Anders | served as Chief of the Astronaut Office in | 1976'],['William Anders served as Chief of the Astronaut Office in 1976.']
webNLG,"['William_Anders | status | ""Retired""']","['William Anders is retired.', 'William Anders is now retired.', 'William Anders has retired.']"
webNLG,"['William_Anders | timeInSpace | ""8820.0""(minutes)']","['William anders spent 8820 minutes in space.', 'William Anders spent 8820.0 minutes in space.', 'William Anders time in space has been 8820.0 minutes.', 'William Anders walked in space 8820.0 minutes.', 'William Anders time in space is 8820.0 minutes.']"
webNLG,['William_Anders | title | United_States_Ambassador_to_Norway'],"['William Anders serves as Ambassador to Norway in the United States.', 'William Anders official title is the United States Ambassador to Norway.', ""United States's Ambassador to Norway is William Anders."", 'William Anders is the US Ambassador to Norway.', ""William Anders' title is the US Ambassador to Norway."", 'William Anders title is the United States Ambassador to Norway.', 'William Anders is the United States Ambassador to Norway.']"
webNLG,['William_Anders | was a crew member of | Apollo_8'],"['William Anders served as a crew member on Apollo 8.', 'William Anders served as a crew member of Apollo 8.', 'William Anders crewed Apollo 8.', 'William Anders was a crew member on Apollo 8.', 'William Anders was a member of the Apollo 8 crew.', ""William Anders was a member of Apollo 8's crew.""]"
webNLG,['William_Anders | was selected by NASA | 1963'],"['William Anders was selected by NASA in 1963.', 'William Anders joined NASA in 1963.', 'William Anders was chosen by NASA in 1963.']"
