prefix,input_text,target_text
webNLG,"['14th_New_Jersey_Volunteer_Infantry_Monument | foundingDate | ""1907-07-11""']","['14th New Jersey Volunteer Infantry Monument was founded 1907-07-11.', 'The memorial depicting the 14th New Jersey Volunteer Infantry was founded on July 11th, 1907.', 'The 14th New Jersey Volunteer Infantry Monument was started on 11th July 1907.', ""The 14th New Jersey Volunteer Infantry Monument's founding date was on 1907-07-11.""]"
webNLG,['14th_New_Jersey_Volunteer_Infantry_Monument | owner | National_Park_Service'],"['The 14th New Jersey Volunteer Infantry Monument is owned by the National Park Service.', 'The National Park Service looks after the 14th New Jersey Volunteer Infantry Monument.', '14th New Jersey Volunteer Infantry Monument is owned by the National Park Service.', 'The National Park Service is the owner of the 14th New Jersey Volunteer Infantry Monument.']"
webNLG,['14th_New_Jersey_Volunteer_Infantry_Monument | owningOrganisation | National_Park_Service'],"['The 14th New Jersey Volunteer Infantry Monument is owned by the National Park Service.', 'The 14th New Jersey Volunteer Infantry Monument has been provided by the National Park Service.', '14th New Jersey Volunteer Infantry Monument is owned by the National Park Service.', 'The National Park Service has responsibility for the 14th New Jersey Volunteer Infantry Monument.', 'The National Park Service owns the 14th New Jersey Volunteer Infantry Monument.']"
webNLG,"['14th_New_Jersey_Volunteer_Infantry_Monument | state | ""Maryland""']","['The 14th New Jersey Volunteer Infantry Monuments is located in the state of Maryland.', 'The 14th New Jersey Volunteer infantry Monument is in the state of Maryland.', 'The 14th New Jersey Volunteer Infantry Monument is located in the state of Maryland.']"
webNLG,"['Adams_County,_Pennsylvania | has to its north | Cumberland_County,_Pennsylvania']","['Adams County, Pennsylvania has Cumberland County, Pennsylvania to its north.', 'Cumberland county, Pennsylvania is north of Adams County, Pennsylvania.', ""Pennsylvania's Cumberland County is to the north of the Adams County."", 'Cumberland County Pennsylvania is located in the north of Adams County Pennsylvania.', 'To the north of Adams County, Pennsylvania is Cumberland County, Pennsylvania.']"
webNLG,"['Adams_County,_Pennsylvania | has to its southwest | Frederick_County,_Maryland']","['Frederick County, Maryland is to the southwest of Adams County, Pennsylvania.', 'Adams County, Pennsylvania has Frederick County, Maryland to its southwest.', 'Frederick County Maryland is southwest of Adams Count Pennsylvania.', ""Maryland's Frederick County is found to the southwest of Pennsylvania's Adams County.""]"
webNLG,"['Adams_County,_Pennsylvania | has to its west | Franklin_County,_Pennsylvania']","['Adams County Pennsylvania is East of Franklin County, Pennsylvania.', 'To the west of Adams County, Pennsylvania, is Franklin County, Pennsylvania.', ""Pennsylvania's Franklin County is found to the west of Adams County."", 'Adams County, Pennsylvania has to its west Franklin County, Pennsylvania.']"
webNLG,"['Atatürk_Monument_(İzmir) | inaugurationDate | ""1932-07-27""']","['The Ataturk Monument was inaugurated on 27th July, 1932.', 'The inauguration date of the Atatürk Monument in Izmir is the 27th of July, 1932.', 'The inauguration date for the Atatürk Monument (İzmir) is 1932-07-27.', 'The inauguration of the Atatürk Monument was at July 27th, 1932.']"
webNLG,['Atatürk_Monument_(İzmir) | location | Turkey'],"['The Atatürk Monument is located in Izmir, Turkey.', 'The Ataturk Monument (Izmir) is located in Turkey.', 'The Atatürk Monument is in Turkey.', 'The Atatürk Monument is located in İzmir, Turkey.', 'The Atatürk Monument (İzmir) can be found in Turkey.', 'The Atatürk Monument (İzmir) is found in Turkey.', 'Atatürk Monument is located in İzmir, Turkey.']"
webNLG,['Azerbaijan | capital | Baku'],"['Baku is the capital of Azerbaijan.', 'The capital of Azerbaijan is Baku.']"
webNLG,['Azerbaijan | legislature | National_Assembly_(Azerbaijan)'],"['The National Assembly dictates the legislature of Azerbaijan.', 'The National Assembly (Azerbaijan) is the source of legislature in Azerbaijan.', 'The Azerbaijan legislature is known as the National Assembly.', 'The National Assembly is the legislative branch of government in Azerbaijan.', 'the legislature in Azerbaijan is National Assembly.', 'Azerbaijan has legislature of National Assembly.']"
webNLG,"['Baku_Turkish_Martyrs\'_Memorial | dedicatedTo | ""Ottoman Army soldiers killed in the Battle of Baku""']","[""Baku Turkish Martyrs' Memorial is dedicated to the Ottoman Army soldiers killed in the Battle of Baku."", ""The Baku Turkish Martyrs' Memorial is dedicated to the Ottoman Army Soldiers killed in the Battle of Baku."", 'The Baku Turkish Martyrs Memorial has been dedicated to Ottoman Army soldiers killed in the Battle of Baku.', 'The Baku Turkish Martyrs Memorial is dedicated to the Ottoman Army soldiers killed in the Battle of Baku.']"
webNLG,"['Baku_Turkish_Martyrs\'_Memorial | designer | ""Hüseyin Bütüner and Hilmi Güner""']","['Baku Turkish Martyrs Memorial designer was Hüseyin Bütüner and Hilmi Güner.', ""The Baku Turkish Martyr's Memorial was designed by Hüseyin Bütüner and Hilmi Güner."", 'The designers of the Turkish martyrs memorial are Huseyin Butuner and Hilmi Guner.', ""The Baku Turkish Martyrs' Memorial was designed by Huseyin Butuner and Hilmi Guner."", ""Hüseyin Bütüner and Hilmi Güner designed the Baku Turkish Martyrs' Memorial."", ""Baku Turkish Martyrs' Memorial was designed by Huseyin Butuner and Hilmi Guner."", ""The designers of the Baku Turkish Martyrs' Memorial are Hüseyin Bütüner and Hilmi Güner."", ""Huseyin Butuner and Hilmi Guner are the designers of the Baku Turkish Martyrs' Memorial.""]"
webNLG,"[""Dead_Man's_Plack | dedicatedTo | Æthelwald,_Ealdorman_of_East_Anglia""]","[""The Dead Man's Plack is dedicated to Æthelwald, Ealdorman of East Anglia."", ""Dead Man's Plack is dedicated to Æthelwald, Ealdorman of East Anglia.""]"
webNLG,"[""Dead_Man's_Plack | location | England""]","[""The Dead Man's Plack is located in England."", ""Dead Man's Plack is in England."", ""Dead Man's Plack is found in England.""]"
webNLG,"[""Dead_Man's_Plack | material | Rock_(geology)""]","[""The Dead Man's Plack is made from rock."", ""Dad Man's Plack is made of rock."", ""Dead Man's Plack is made from stone."", ""The Dead Man's Plack is made with rock.""]"
webNLG,['England | capital | London'],"['London is the capital of England.', 'The capital of England is London.', ""England's capital is London.""]"
webNLG,['England | ethnicGroups | British_Arabs'],"['One of the ethnic groups found in England is the British Arabs.', 'The British Arabs are an English ethnic group.']"
webNLG,['England | languages | Cornish_language'],"['One of the languages spoken in England is the Cornish language.', 'Cornish language is spoken in England.', 'Cornish is a language spoken in the Cornwall region of England.']"
webNLG,['England | religion | Church_of_England'],"['In England the main religion is the Church of England.', 'The established religion in England is The Church of England.', 'the religion of England is Church of England.']"
webNLG,"['Monocacy_National_Battlefield | location | Frederick_County,_Maryland']","['Monocacy National Battlefield is located in Frederick County, Maryland.', 'The Monocacy National Battlefield is located in Frederick County, Maryland.', 'The Monocacy National Battlefield is in the county Frederick, Maryland.']"
webNLG,"['Monocacy_National_Battlefield | nearestCity | Frederick,_Maryland']","['The city nearest to Monocacy National Battlefield is Frederick, Maryland.', 'The nearest city to Monocacy National Battlefield is Frederick, Maryland.']"
webNLG,['Turkey | capital | Ankara'],"['Ankara is the capital of Turkey.', 'The capital of Turkey is Ankara.', ""Turkey's capital is Ankara."", 'Ankara is the Turkish capital.']"
webNLG,['Turkey | currency | Turkish_lira'],"['The currency of Turkey is Turkish Lira.', 'The currency of Turkey is the Turkish lira.', 'The currency in Turkey is the Turkish Lira.', ""Turkey's currency is the Turkish lira."", 'the currency used in Turkey is lira.', 'The Turkish currency is the Turkish lira.']"
webNLG,['Turkey | largestCity | Istanbul'],"['The largest city in Turkey is Istanbul.', 'Istanbul is the largest city in Turkey.', ""Turkey's largest City is Istanbul.""]"
webNLG,['Turkey | leader | Ahmet_Davutoğlu'],"['Ahmet Davutoglu is a leader of Turkey.', 'Ahmet Davutoglu is the leader of Turkey.', 'Leader of Turkey is Ahmet Davutoglu.', ""Ahmet_Davutoğlu is Turkey's leader."", 'The Leader Of Turkey is Ahmet Davutoğlu.', 'Ahmet Davutoglu is the Turkish leader.']"
webNLG,['Turkey | leaderName | Ahmet_Davutoğlu'],"[""Turkey's leader is Ahmet Davutoğlu."", 'Turkey leader name is Ahmet Davutoğlu.', ""The Turkish leader's name is Ahmet Davutoglu.""]"
webNLG,['Turkey | leaderTitle | President_of_Turkey'],"[""The leader's title in Turkey is the President of Turkey."", ""Turkey's leader is the President of Turkey."", 'President of Turkey is the official title of the Turkish leader.']"
